French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
demande,request
mois,month
frère,brother
car,because
mettre,to put
aucun,no
11,12,12,13,laisse,leash
12,13,13,14,eux,them
13,14,14,15,ville,city
14,15,15,16,chaque,each
15,16,16,17,parlé,speak
16,17,17,18,arrivé,come
17,18,18,19,devrait,should
18,19,19,20,bébé,baby
19,20,20,21,longtemps,long time
20,21,21,22,heures,hours
21,22,22,23,vont,will
22,23,23,24,pendant,while
23,24,24,25,revoir,meet again
24,25,25,26,aucune,any
25,26,26,27,place,square
26,27,27,28,parle,speak
compris,understood
savais,knew
étaient,were
30,31,31,32,attention,Warning
31,32,32,33,voici,here is
32,33,33,34,pourrais,could
33,34,34,35,affaire,case
34,35,35,36,donner,give
35,36,36,37,type,type
36,37,37,38,leurs,their
37,38,38,39,train,train
38,39,39,40,corps,body
39,40,40,41,endroit,place
40,41,41,42,yeux,eyes
41,42,42,43,façon,way
42,43,43,44,écoute,listen
43,44,44,45,dont,whose
44,45,45,46,trouve,find
45,46,46,47,premier,first
46,47,47,48,perdu,lost
47,48,48,49,main,hand
48,49,49,50,première,first
49,50,50,51,côté,side
50,51,51,52,pouvoir,power
51,52,52,53,vieux,old
52,53,53,54,sois,be
53,54,54,55,tiens,here
54,55,55,56,matin,morning
55,56,56,57,enfant,child
56,57,57,58,point,point
57,58,58,59,venu,came
58,59,59,60,suite,after
59,60,60,61,pardon,sorry
60,61,61,62,venez,come
61,62,62,63,devant,in front of
62,63,63,64,vers,towards
63,64,64,65,minutes,minutes
64,65,65,66,demandé,request
65,66,66,67,chambre,bedroom
66,67,67,68,mis,placed
67,68,68,69,belle,beautiful
68,69,69,70,droit,law
69,70,70,71,aimerais,would like to
70,71,72,73,mari,husband
71,72,73,74,enfin,finally
72,73,74,75,espère,hope
73,74,75,76,eau,water
74,75,76,77,attendez,Wait
75,76,77,78,parti,left
76,77,78,79,nouvelle,new
77,78,79,80,boulot,job
78,79,80,81,arrêter,Stop
79,80,81,82,dirait,would say
80,81,82,83,terre,Earth
81,82,83,84,compte,account
82,83,84,85,donne,given
83,84,85,86,loin,far
84,85,86,87,fin,end
85,86,87,88,croire,believe
86,87,88,89,chérie,sweetheart
87,88,89,90,gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
